Name,Size,Type,Align.,AC,HP,Speed,Swim,Fly,Climb,Burrow,STR,DEX,CON,INT,WIS,CHA,STR save,DEX save,CON save,INT save,WIS save,CHA save,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,WRI,Acid Resistance,Acid Immunity,Cold Res,Cold Immu,Fire Res,Fire Immu,Force Res,Force Immu,Lightening Res,Lightneing Immu,Necrotic Res,Necrotic Immu,Poison Res,Poison Immu,Psychic Res,Psychic Immu,Radiant Res,Radiant Immu,Slashing Res,Slashing Immu,Piercing Res,Piercing Immu,Thunder Res,Thunder Immu,Charmed Immunity,Exhaustion Immunity,Frightened Immunity,Paralyzed Immunity,Prone Immunity,Unconscious Immunity,Senses,Blindsight,Darkvision,Truesight,Tremorsense,Normal,Normal Spellcasting,Master of the Grave,Evasion,Legendary Resistance,Languages,Abyssal,Alive,All,Any,Aquan,Auran,Bothii,Celestial,Common,Creator,Deep Speech,Draconic,Druidic,Dwarvish,Elvish,Giant,Gnoll,Gnomish,Goblin,Ignan,Infernal,Infernal,Modron,None,Olman,Orc,Own,Primal,Primordial,Spider,Sylvan,Telepathy,Terran,Thayan,Thieves' Cant,Undercommon,Yikaria,Telepathy Distance,CR,Additional,Origin
Aarakocra,Medium,Humanoid,NG,12,13,20,,50,,,10,14,10,11,12,11,,,,,,,,,,,,,,,,,,Y,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,Y,,,,,Auran,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,Dive Attack,Monster Manual
Aboleth,Large,Aberration,LE,17,135,10,40,,,,21,9,15,18,15,18,,Y,,Y,Y,,,,,,,Y,,,,,,Y,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Deep Speech, Telepathy 120",,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,10.00,"Amphibious, Mucous Cloud, Probing Telepathy, Legendary, Lair",Monster Manual
Allip,Medium,Undead,NE,13,40,,,40,,,6,17,10,17,15,16,,,,Y,Y,,,,,,,,,,,,,Y,,,,,Y,,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Y,,,Y,Y,,,,Y,,,Y,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Darkvision 60,,60,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,Incorporeal Movement,Mordenkainen's Tome of Foes
"Angel, Deva",Medium,Celestial,LG,17,136,30,,90,,,18,18,18,17,20,20,,,,,Y,Y,,,,,,,Y,,,,,Y,,,,,,,"Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,Darkvision 120,,120,,,,,,,,"All, Telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,10.00,"Angelic Weapons, Innate Spellcasting, Magic Resistance",Monster Manual
"Angel, Planetar",Large,Celestial,LG,19,200,40,,120,,,24,20,24,19,22,25,,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,"Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,16.00,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance",Monster Manual
"Angel, Solar",Large,Celestial,LG,21,243,50,,150,,,26,22,26,25,25,30,,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,"Radiantres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonimmu",,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,21.00,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary",Monster Manual
Azer,Medium,Elemental,LN,17,39,30,,,,,17,12,15,12,13,10,,Y,,,,,,,,,,,,,,,,,,,,,,,"Fireimmu, poisonimmu, poisonimmu",,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Normal,,,,,Y,,,,,Ignan,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,2.00,"Heated Body, Heated Weapons, Illumination",Monster Manual
Banderhobb,Large,Monstrosity,NE,15,84,30,,,,,20,12,20,11,14,8,,,,,,,,,,Y,,,,,,,,,,,,,Y,,"Charmedimmu, frightenedimmu, poisonedimmu",,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Darkvision 120,,120,,,,,,,,"Common, Any",,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,"Resonant Connection, Shadow Stealth",Volo's Guide to Monsters
Banshee,Medium,Undead,CE,12,58,,,40,,,1,14,10,12,11,17,,,,,Y,Y,,,,,,,,,,,,,,,,,,,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Y,,,Y,Y,,,,Y,,,Y,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Darkvision 60,,60,,,,,,,,"Common, Elvish",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,4.00,"Detect Life, Incorporeal Movement",Monster Manual
Barghest,Large,Fiend (Shapechanger),NE,17,90,60,,,,,19,15,14,13,12,14,,,,,,,,,,,Y,,,Y,,,,Y,,,,,Y,,"Coldres, fireres, lightningres, nonmagicalres, acidimmu, poisonimmu, poisonedimmu",,Y,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 60",60,60,,,,,,,,"Abyssal, Common, Goblin, Infernal, telepathy 60",Y,,,,,,,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,60,4.00,"Shapechanger, Fire Banishment, Keen Smell, Innate Spellcasting",Volo's Guide to Monsters
